session_id,driver_id,avg_rpm,max_rpm,avg_speed,max_speed,avg_engine_load,max_coolant_temp,avg_throttle,max_steering_angle,avg_fuel_level,avg_battery_voltage,aggressive_event_count,total_events,driving_label
S0000,1,1659.257,3048,21.874,46,30.6135,93,18.6346,135.86,73.7,13.1,978,1000,aggressive
S0001,1,2067.106,3023,26.684,46,32.1858,90,23.9049,233.73,73.7,13.0968,922,1000,aggressive
S0002,1,2187.113,3078,30.402,63,32.902,90,26.1289,137.7,73.7,13.1,871,1000,aggressive
S0003,1,1455.45,2144,26.859,47,27.5138,87,17.2074,235.12,73.7,13.0591,981,1000,aggressive
S0004,1,1580.956,2168,19.282,29,25.3401,86,17.200400000000002,232.01,73.7,13.006200000000002,1000,1000,aggressive
S0005,1,1607.714,2854,12.094,31,24.5265,89,16.2531,231.68,73.6712,13.031799999999999,999,1000,aggressive
S0006,1,1927.087,2892,31.579,45,31.3972,90,23.5191,137.66,72.5,13.0094,925,1000,aggressive
S0007,1,2294.274,2970,54.204,85,44.3296,87,30.5572,234.62,72.5,13.0,709,1000,aggressive
S0008,1,2256.509,2967,86.671,93,51.747800000000005,84,40.551300000000005,231.87,72.5,13.0,504,1000,aggressive
S0009,1,2156.848,2461,83.701,96,58.2813,86,40.9438,137.06,72.5,13.0,458,1000,moderate
S0010,1,2272.662,2569,78.784,99,46.297599999999996,86,41.2339,128.74,72.0709,13.0,565,1000,aggressive
S0011,1,2284.874,2917,67.497,87,66.3618,86,51.2874,131.17,71.8,13.0,388,1000,moderate
S0012,1,2795.44,3292,82.732,97,55.638400000000004,86,45.173199999999994,131.2,71.8,13.0,420,1000,moderate
S0013,1,2353.195,2623,69.536,78,77.5308,87,69.95519999999999,130.09,70.792,13.0,176,1000,moderate
S0014,1,2877.89,3556,85.257,105,70.1947,87,66.19369999999999,236.05,70.1832,13.041,226,1000,moderate
S0015,1,3119.105,3804,92.299,112,60.6402,85,51.294599999999996,236.78,69.182,13.1,394,1000,moderate
S0016,1,3087.343,3666,91.458,108,32.152,84,28.9277,231.92,68.714,13.1,791,1000,aggressive
S0017,1,2440.561,3558,93.642,111,37.115300000000005,85,34.4739,125.49,68.6,13.1,643,1000,aggressive
S0018,1,1872.742,2400,46.437,67,29.0051,85,19.7278,233.1,68.6,13.1,994,1000,aggressive
S0019,1,1691.473,3672,29.474,110,29.0288,93,22.303600000000003,237.31,69.65109999999999,13.086699999999999,877,1000,aggressive
S0020,1,2174.781,3804,56.135,112,44.626400000000004,93,35.5123,128.3,71.7715,13.0465,675,1000,aggressive
S0021,1,2203.943,3803,55.457,112,43.0077,93,32.882,233.2,71.7477,13.047,701,1000,aggressive
S0022,1,2164.247,3804,54.719,112,43.380199999999995,93,33.159800000000004,130.3,71.796,13.0442,697,1000,aggressive
S0023,1,2221.515,3804,57.633,112,44.3587,93,33.941900000000004,131.6,71.69739999999999,13.0453,693,1000,aggressive
S0024,1,2183.853,3741,56.402,111,44.077400000000004,93,34.5281,236.8,71.67389999999999,13.045200000000001,674,1000,aggressive
